name,age,birthday,occupation,hometown,another_category
Asena Neuhoff,22,,Lash Technician,"Cologne, Germany",Dumped
Audrey Kanongara,,,Model,"Brisbane, Queensland",Dumped
Audrey Pinault,,,Commercial Director,"Quebec, Canada",Dumped
Austen Bugeja,,2000,Spray painterSemi-professional soccer player,"Sydney, New South Wales",Winner
Avery Grooms,25,"November 1, 1997",Hostess,"Fresno, California",Dumped
Bailey Marshall,25,"November 28, 1997",Marketing Intern,"Portland, Oregon",3rd place
Ballo Caraballo,20,"June 29, 2001",Model,"Chicago, Illinois",In Villa
Bayley Mummery,25,"July 3, 1997",Operations Manager,"Surrey, England",Dumped
Beata Kurpas,25,,Recruiter,"London, England",Participating
Beatrice Knapstedt,,,Social media marketer,"Gothenburg, Sweden",Dumped
Belle Hassan,25,"March 6, 1998",Makeup Artist,"Bromley, England",Dumped
Ben Giobbi,,,Plumber,"Melbourne, Victoria",Dumped
Ben Gleeson,,"November 28, 1996",Personal Trainer,"Sydney, New South Wales",Dumped
Ben Porter,31,"June 10, 1991",Junior Manager,"Wakefield, England",Dumped
Benjamin Fabre,,,Restaurant Owner,"Longueuil, Canada",Winner
Bennett Sipes,28,"June 7, 1994",Executive assistant,"Baltimore, Maryland",Dumped
Bennie Bivens,26,"July 30, 1996",Sales and personal trainer,"Barnegat, New Jersey",Dumped
Bethany Rogers,27,"December 20, 1995",,"Leeds, England",Dumped
Bianka Daoust,22,2001,Nursing student,"Salaberry-de-Valleyfield, Canada",Participating
Biannca Furchtman,25,,Sales Executive,"Sydney, New South Wales",Dumped
Biggs Chris,30,"May 15, 1992",Car Body Repair Specialist,"Glasgow, Scotland",Dumped
Billy Brown,23,"May 9, 1999",Roofing Company Director,"Surrey, England",Dumped
Blake Williamson,28,,Personal Trainer and Plumber,"Gold Coast, Queensland",Dumped
Brad McClelland,27,"June 10, 1995",Labourer,"Northumberland, England",Dumped
Brent Crapp,,,Recruitment consultant,"Central Coast, New South Wales",Dumped
Brett Staniland,27,"November 28, 1993",PhD Student,"Derbyshire, England",Dumped
Bria Bryant,25,"November 7, 1997",Personal Shopper,"Clifton, New Jersey",Dumped
Brianna Marchant,,,,"Brisbane, Queensland",Dumped
Bryce Fins,30,,,"San Diego, California",Dumped
Burak Adas,,1995,Willys Worker,"Uddevalla, Sweden",Participating
Caleb Corprew,27,"February 11, 1996",IT Sales consultant,"Oklahoma City, Oklahoma",Winner
Callum Hole,,,Personal TrainerPool Boy,"Brisbane, Queensland",Participating
Callum Jones,26,"July 12, 1996",Scaffolder,"Manchester, England",Dumped
Callum Macleod,32,"September 1, 1990",Aircraft engineer,"South Wales, Wales",Dumped
Cally Jane Beech,31,"October 1, 1991",Dental Nurse,"Kingston upon Hull, England",4th Place
Calvin Cobb,27,"January 5, 1996",Sales Manager,"Houston, Texas",3rd Place
Camilla Thurlow,33,"July 9, 1989",Explosive Ordnance Disposal,"Dumfries, Scotland",Runner-Up
Cara De La Hoyde-Massey,32,"July 10, 1990",International Circus performer,"Kent, England",Winner
Caro Viehweg,24,"May 15, 1998",Student,"Los Angeles, California",3rd Place
Caroline Kronqvist,,,Personal trainer,"Norrköping, Sweden",Participating
Caroline Thomassen,21,,Student,"Stavanger, Norway",Dumped
Carrington Rodriguez,25,"August 2, 1997",Sales Manager,"Salt Lake City, Utah",4th Place
Cartier Surjan,19,"November 28, 1999",Lifeguard,"Sydney, Australia",Runner-Up
Casey O'Gorman,26,"October 31, 1996",Recruitment Consultant,"Tring, England",Dumped
Cashay Proudfoot,27,"January 9, 1996",Waitress,"Brooklyn, New York",Dumped
Cashel Barnett,27,"October 1, 1991",Model and musician,"Sacramento, California",Dumped
Cassidy McGill,28,"January 23, 1995",Barmaid,"Melbourne, Australia",Dumped
Cassie Lansdell,30,"October 28, 1992",Executive Assistant,"Sydney, Australia",Dumped
Cedric Peters,28,,Pulp and paper operator,"Sherbrooke, Canada",Participating
Celine Axman,,,Dive instructor,"Stockholm, Sweden",Winner
Cely Vazquez,26,"May 23, 1996",Legal Secretary,"Sacramento, California",Runner-Up
Chad Robinson,23,,Personal Trainer,"Clarkston, Michigan",Dumped
Chanse Corbi,22,"November 16, 2000",Medical Student,"Los Angeles, California",Dumped
Charlie Brake,28,"January 5, 1995",Socialite,"Chelsea, England",Dumped
Charlie Frederick,27,"November 10, 1995",Model,"Plymouth, England",Dumped
Charlie Lynch,31,"July 30, 1991",Entrepreneur,"Houston, Texas",4th place
Charlie Radnedge,29,"February 4, 1994",Real Estate Agent,"London, England",Dumped
Charlie Taylor,27,"July 25, 1995[1]",Rugby Player,"Sydney, Australia",Dumped
Charlie Williams,29,"November 28, 1993",Tanning Shop Assistant,"Bath, England",Dumped
Chazz Bryant,21,,Personal Trainer,"Clifton, New Jersey",Dumped
Ched Uzor,26,"July 27, 1996",Scaffolder,"Suffolk, England",4th Place
Cheyanne Kerr,24,"September 6, 1998",Cabin Crew Employee,"Barnsley, England",Dumped
Chloe Burrows,27,"September 26, 1995",Financial Services Marketing Executive,"Bicester, England",Runner-Up
Chloë Crowhurst,26,"December 17, 1996",Executive Assistant,"Essex, England",Dumped
Chris Baxter,28,"August 8, 1994",Personal trainer,"London, England",Dumped
Chris Graudins,25,1996,Riot squad,"Gold Coast, Queensland",Runner-Up
Chris Hughes,30,"December 22, 1992",Model,"Cheltenham, England",3rd Place
Chris Taylor,32,"July 31, 1990",Business Development Manager,"Leicester, England",Dumped
Chris Williamson,35,"November 28, 1987",Model and club promoter,"Newcastle, England",Dumped
Christen McAllister,24,"November 28, 1994",Sales and business development,"Los Angeles, California",Dumped
Christian Longnecker,26,"August 22, 1996",Coffee Company Owner,"Oahu, Hawaii",Dumped
Christina Mitsakou,,,Yoga instructor,"Athens, Greece",Participating
Christina Ophaug-Johansen,25,,Student,"Trondheim, Norway",Dumped
Christos Mitsakis,29,,Carpenter and model,"Stockholm, Sweden",Dumped
Chyna Ellis,28,"August 24, 1994",Fashion Stylist,"Essex, England",Dumped
Chyna Mills,24,"November 24, 1998",Youth Support Worker,"Southampton, England",Dumped
Clara Mossfeldt,,,Shoe saleswoman,"Stockholm, Sweden",Participating
Clarisse Juliette,25,"May 2, 1998",Brand Owner/Influencer,"London, England",Dumped
Claudia Bonifazio,23,"July 14, 1999",Medical secretary,"Adelaide, South Australia",Winner
Claudia Fogarty,28,"August 9, 1994",Fashion boutique owner,"Blackburn, England",Dumped
Claudia Penka,,,Personal assistant,"Dubai, United Arab Emirates",Participating
Claudia Szponar,25,,Logistician,"Lublin, Poland",Dumped
Coco Lodge,28,"January 7, 1995",Graphic Designer,"Guildford, England",Dumped
Connagh Howard,31,"April 26, 1992",Model,"Cardiff, Wales",Dumped
Connor Durman,28,"June 11, 1994",Coffee bean salesman,"Brighton, England",Dumped
Connor Trott,25,"July 5, 1997",Auditor,"Pittsburgh, Pennsylvania",Dumped
Conor Howard,,,Real Estate Agent,"Sydney, New South Wales",Dumped
Cormac Murphy,26,,Nightclub promoter,"New York, New York",Dumped
Courtney Boerner,25,"November 25, 1997",Stylist,"Los Angeles, California",Dumped
Courtney Stubbs,25,"January 5, 1998",Nursing student,"Gold Coast, Queensland",Dumped
Craig Lawson,32,"July 31, 1990",Personal Trainer,"London, England",Dumped
Curtis Pritchard,27,"February 8, 1996",Ballroom and Latin dancer,"Shropshire, England",4th Place
Cynthia Otseh-Taiwo,25,"August 24, 1997",Dental Receptionist and Baker,"North London, England",Dumped
Cynthia Taylu,26,"September 4, 1996",Model,"Brisbane, Australia",3rd Place
Daisy Muller,32,"November 14, 1990",Glamour model,"Birmingham, England",Dumped
Dale Mehmet,26,"November 17, 1996",Barber,"Glasgow, Scotland",Dumped
Dami Hope,27,"March 27, 1996",Senior Microbiologist,"Dublin, Ireland",3rd Place
Dan Moneresni,25,,Firefighter,"Montreal, Canada",Participating
Dan Rose,21,"May 25, 1998",Bathroom salesman,"Nuneaton, England",Dumped
Dana Umut,23,,Soldier,"Oldenburg, Germany",Dumped
Dani Dyer,26,"August 8, 1996",Barmaid,"East London, England",Winner
Danica Taylor,22,"April 13, 2001",Dancer,"Leicester, England",Dumped
Daniel Lukakis,30,"January 24, 1992",Model,"London, England",Dumped
Daniel Różański,28,,Personal trainer,"London, England",Dumped
Daniel van Pienbroek,20,,Personal Trainer,"Amsterdam, Netherlands",Winner
Danielle Pyne,31,"September 10, 1991",West End Marketing Executive,"London, England",Dumped
Danielle Sellers,27,"May 14, 1995",Model,"Hastings, England",Dumped
Danilo Cristilli,22,,Gigolo,"Schwenningen, Germany",Dumped
Danny Bibby,25,"November 28, 1995",Plumber,"Manchester, England",Dumped
Danny Williams,21,"August 5, 1997",Model,"Hull, England",Dumped
Darylle Sargeant,29,"September 24, 1993",Eyebrow Technician,"Watford, England",Dumped
David Salako,25,"February 13, 1998",Money Adviser,"Essex, England",Dumped
Davide Sanclimenti,28,"January 1, 1995",Business Owner,"Manchester, England",Winner
Dawid Dybowski,27,,Cook,"Toruń, Poland",Participating
De'Andre Heath,25,,Pro-baseball player,"North Miami Beach, Florida",Dumped
Dean Overson,29,"June 16, 1993",Car Sales Executive,"Burnley, England",Dumped
Deborah Chubb,27,"May 2, 1996",Personal Assistant,"Redondo Beach, California",3rd Place
Deji Adeniyi,26,"November 14, 1996",Accounts Manager,"Bedford, England",Dumped
Demi Jones,24,"July 2, 1998",Style advisor,"Portsmouth, England",3rd Place
Denise Brohl,32,,Lash Technician,"Cologne, Germany",Dumped
Dennis Glanz,22,,YouTuber,"Luneburg, Germany",Walked
Dennon Lewis,25,"May 9, 1997[1]",Professional footballer,"Watford, England",Dumped
Destiny Morgan,21,,Beautician,"Plantagenet, Canada",Participating
Dijana Cvijetic,25,,Model,Switzerland,Dumped
Dom Thomas,31,"February 11, 1992",Construction Project Manager,"Sydney, Australia",Dumped
Dominic Lever,32,"January 24, 1991",Careers Advisor,"Manchester, England",Dumped
Dylan Curry,25,,Personal trainer,"San Diego, California",Runner-Up
Ebba Björkenholt,22,,Teacher,"Åkersberga, Sweden",Participating
Edem Hetcheli,24,,Conductor,"Hässleholm, Sweden",Participating
Eden Dally,30,"August 31, 1992",Prison Guard,"Sydney, Australia",Runner-Up
Edouard Davignon,23,,Bartender,"Varennes, Canada",Participating
Edyn Mackney,27,"March 7, 1996",Social Media Manager,"Gold Coast, Queensland",Dumped
Ekin-Su Cülcüloğlu,28,"August 21, 1994",Actress,"Essex, England",Winner
Elias Carlsson,22,,Engineer,"Borås, Sweden",Participating
Elias Chigros,32,"September 6, 1990",ModelPersonal Trainer,"Melbourne, Australia",Dumped
Elin Öman,20,"November 28, 1998",Sawmill Worker,"Kramfors, Sweden",Walked
Elisabeth Lund,19,,Model,"Kristiansand, Norway",Dumped
Eliza Kennedy,,,Personal Assistant,"Brisbane, Queensland",Dumped
Elizabeth Weber,24,"May 13, 1995",Advertising Executive,"New York, New York",Winner
Ellie Brown,25,"February 25, 1998",Business Development manager,"Newcastle, England",Dumped
Ellie Jones,27,"February 10, 1996",Customer ServiceOffice Administrator,"Kent, England",Dumped
Ellie Spence,25,,Business Development Executive,"Norwich, England",Dumped
Ellisha-Jade White,,,Entrepreneur and blogger,"Southampton, England",Dumped
Elly Steffen,,,Neuroscience Graduate/Model,"Chicago, Illinois",Dumped
Elma Pazar,30,"July 7, 1992",Eyelash Technician,"Essex, England",Dumped
Emilio Evertsen da Gama,22,,Model,"Stavanger, Norway",Dumped
Emily Salch,25,"November 29, 1997",,"Binghamton, New York",4th Place
Emily Ward,25,"October 26, 1997",Web content publisher,"Gold Coast, Queensland",Dumped
Emma Jane Woodham,26,"November 30, 1996",Trainee Project Manager,"Oxford, England",Dumped
Enya Jaime,23,,Clinical Nurse,"Brossard, Canada",Participating
Eoghan Murphy,27,"September 30, 1995",Real Estate Agent,"Gold Coast, Australia",Dumped
Eric Hall,31,"January 11, 1992",Tattoo-shop manager,"Toronto, Ontario",Dumped
Eric Wilson,30,"October 15, 1992",Hairdresser,"Quebec, Canada",Dumped
Erik Karlsson,27,,Self-employed,"Katrineholm, Sweden",Participating
Erik Rial,22,,Photographer and Astrophysicist,"Innsbruck, Germany",Dumped
Erin Barnett,28,"April 13, 1995",Nurse,"Melbourne, Australia",Runner-Up
Eskild Magnussen,27,,MMA Practitioner,"Oslo, Norway",Dumped
Eva Zapico,24,"July 23, 1998",Recruitment Consultant,"Bromley, England",Dumped
Eve Gale,23,"May 8, 1999",Students and VIP hostesses,"London, England",Dumped
Evelina Johnsson,20,,Cafe Barista,"Stockholm, Sweden",Participating
Eyal Booker,27,"August 2, 1995",Model,"London, England",Dumped
Faith Tyrell,28,"August 28, 1994",Pageant coach,"Kansas City, Missouri",Dumped
Faye Winter,27,"June 21, 1995",Lettings manager,"Devon, England",3rd Place
Felipe Gomes,32,"June 16, 1990",Model,"São Paulo, Brazil",Dumped
Finley Tapp,23,"November 9, 1999",Recruitment consultant and Footballer,"Milton Keynes, England",Winner
Florence Mueller,28,"February 2, 1995",ModelRapper,"Miami, Florida",Dumped
Florita Diaz,29,"August 6, 1993",Model,"Los Angeles, California",Dumped
Francesca Allen,27,"November 7, 1995[1]",Clothing store manager,"Essex, England",Dumped
Frankie Davey,22,"December 24, 2000",Pro Boxer,"Ipswich, England",Dumped
Frankie Foster,27,"January 17, 1996",Business Management StudentFitness Coach,"Cheltenham, England",Dumped
François-Oliver Shamie,,,Influencer,"Brossard, Canada",Dumped
Françoise Draschler,33,"November 5, 1989",,"Melbourne, Australia",Dumped
Frida Hartman,,,Dancer,"Stockholm, Sweden",Participating
Félipé Corbo,,,Ice Hockey Player,"Quebec, Canada",Dumped
Gabby Allen,31,"February 6, 1992",Dancer,"Liverpool, England",4th Place
Gabby Kiszka,24,"February 2, 1999",Pharmaceutical Sales Representative,"Westwood, New Jersey",Dumped
Gabe Sadowsky,,,Personal TrainerModel,"Nashua, New Hampshire",Dumped
Gabriel Levesque,,,Photographer,"Montreal, Canada",Dumped
Gabriele Iacampo,25,,Private gym owner,"Montreal, Canada",Participating
Gabriella Barbaro,22,"June 25, 2000",Client Specialist,"Long Island, New York",Dumped
Gemma Owen,20,"May 1, 2003",International Dressage Rider and Business Owner,"Chester, England",Runner-Up
Genevieve Shawcross,24,"April 26, 1999",Student,"West Chester, Pennsylvania",Dumped
George Day,31,"February 8, 1992",Estate Agent,"Southampton, England",Dumped
George Johnson,29,,Interior designer and seller,"Beverly Hills, California",Dumped
George Rains,22,"December 10, 1996",Builder,"Essex, England",Dumped
George Sotiriou,,,Model,"Athens, Greece",Dumped
George Tasker,24,"July 7, 1998",Labourer,"Cotswolds, England",Dumped
Georgia Harrison,28,"December 12, 1994",PA,"Essex, England",Dumped
Georgia Steel,25,"March 28, 1998",Performing Arts StudentBarmaid,"York, England",Dumped
Georgia Townend,30,"January 1, 1993",Marketing executive,"Essex, England",Dumped
Gephte Kundo,,,Influencer,"Gothenburg, Sweden",Dumped
Gerard Majda,25,"June 29, 1997",Personal Trainer,"Perth, Australia",Walked
GiNiele Reitzell,24,,Sales Manager,"Paramount, California",Dumped
Giorgos Georgiou,,,Barista,"Athens, Greece",Participating
Giorgos Korkas,,,Charioteer,"Corinth, Greece",Participating
Grace Wardle,29,"August 20, 1993",Hairdresser,"London, England",Dumped
Gracia King,,,Student,"Châteauguay, Canada",Dumped
Grant Crapp,27,"August 1, 1995",Tradie,"Canberra, Australia",Winner
Greg O'Shea,24,"March 23, 1995",Professional Rugby player,"Limerick, Ireland",Winner
Hannah Elizabeth,33,"March 9, 1990",Glamour model and Playboy bunny,"Liverpool, England",Runner-Up
Haris Namani,21,"December 16, 2001",TV Salesman,"Doncaster, England",Dumped
Harley Brash,20,"October 5, 1998",Estate Agent,"Newcastle, England",Dumped
Harley Judge,28,"September 8, 1994",Grounds-Worker,"Norwich, England",Dumped
Harry Young,26,"April 24, 1997",Car Salesman,"Wishaw, Scotland",Dumped
Hayley Hughes,26,"June 27, 1996",Model,"Liverpool, England",Dumped
Holly Oakes-Ferguson,,,Customer service representative,"Brisbane, Queensland",Dumped
Hubert Wicher,25,,Real Estate Agent,"Bytów, Poland",Participating
Hugh Wilcox,25,"August 27, 1997",Business owner,"Melbourne, Victoria",Dumped
Hugh Yates,24,"November 15, 1998",Carpenter,"Northern Beaches, New South Wales",Dumped
Hugo Brochu,26,,Civil engineering construction worker,"Shawinigan, Canada",Participating
Hugo Hammond,26,"August 7, 1996",PE Teacher,"Hampshire, England",Dumped
Ida Myren,21,,Student,"Fræna, Norway",Dumped
Idris Virgo,29,"June 11, 1993",Boxer,"Birmingham, England",Dumped
Ikenna Abika,,,Influencer,"Gothenburg, Sweden",Participating
Ikenna Ekwonna,24,"February 22, 1999",Pharmaceutical Sales,"Nottingham, England",Dumped
India Reynolds,28,"December 20, 1990",Model,"Reading, England",3rd Place
Indiyah Polack,24,"December 11, 1998",Waitress and Model,"London, England",3rd Place
Inez Sadkowska,28,,Dancer,"Bialystok, Poland",Dumped
Ioanna Tzani,,,Journalist,"Gytheio, Greece",Participating
Isabel Johnson,,,Beauty Advisor,"Minneapolis, Minnesota",Dumped
Isabelle Green,27,,Home Carer,"Brisbane, Queensland",Dumped
Isabelle Labrecque,,,Pilot,"Greenfield Park, Canada",Runner-Up
Isabelle Oskarsson,,,Influencer,"Gävle, Sweden",Participating
Isaiah Campbell,22,"March 7, 2001",Waiter,"Delray, Florida",Runner-Up
Isaiah Harmison,,,Personal Trainer,"Houston, Texas",Dumped
Iselin Nordøy,23,,Fashion Consultant,"Ski, Norway",Runner-Up
Ismaël Dumerlus,,,Personal Trainer,"Montreal, Canada",Dumped
Jack Barlow,27,"June 8, 1995",Racing Driver and Coach,"East Sussex, England",Dumped
Jack Fincham,31,"May 9, 1991",Stationary Sales Manager,"Kent, England",Winner
Jack Fowler,27,"January 1, 1996",Personal Trainer,"London, England",Dumped
Jack Keating,24,"March 15, 1999",Social Media Marketing,"Dublin, Ireland",Dumped
Jacques O'Neill,23,"May 8, 1999",Professional Rugby League Player,"Cumbria, England",Walked
Jade Affleck,28,"November 28, 1994",Sales Professional,"Yarm, England",Dumped
Jade Ashelford,,,Pharmacy Assistant,"Sunshine Coast, Queensland",Dumped
Jade Cousineau,,,Student,"Mirabel, Canada",Dumped
Jagoda Gromala,22,,Model,"Rzeszów, Poland",Walked
Jake Cornish,26,"April 17, 1997",Water Engineer,"Weston-super-Mare, England",Walked
Jakub Grabarek,22,,Real Estate Adviser,"Poznań, Poland",3rd Place
Jakub Świder,25,,Road Engineer,England,Dumped
Jakub Wiśniewski,26,,Boxer,"Nottingham, England",Participating
Jalen Noble,29,"May 13, 1993",Account executive,"Nashville, Tennessee",Dumped
James Khan,26,"May 3, 1996",News-Agent,"Teddington, England",Dumped
James McCool,27,,Personal Trainer,"Winchester, Virginia",Dumped
Jamie Allen,27,"May 25, 1995",Footballer,"Preston, England",Dumped
Jamie Clayton,28,1991,Recruitment consultant,"Edinburgh, Scotland",Participating
Jamie Jewitt,32,"May 6, 1990",,"Essex, England",Runner-Up
Jamie McCann,27,"January 3, 1996",Eyelash Technician,"North Ayrshire, Scotland",Dumped
Jared Hassim,24,"December 9, 1998",Professional Photographer,"Los Angeles, California",Dumped
Jason Shtjefni,,,Day trader,"Adelaide, South Australia",Walked
Javi Shephard,33,"May 12, 1989",Surveyor,"York, England",Dumped
Javonny Vega,28,"October 19, 1994",Real Estate Investor,"Boca Raton, Florida",Dumped
Jaxon Human,29,"September 20, 1993",Exotic DancerModel,"Melbourne, Australia",Dumped
Jay Younger,29,"November 8, 1993",Investment Analyst,"Edinburgh, Scotland",Dumped
Jazmine Nichol,22,"October 28, 2000",Nightclub Manager,"Newcastle, England",Dumped
Jeff Christian Jr.,25,,Footballer,"Cincinnati, Ohio",Walked
Jennifer Tamayo,,,,"Stockholm, Sweden",Dumped
Jered Youngblood,27,,,"Lakeland, Florida",Dumped
Jeremiah White,22,,Retail Sales Associate,"De Kalb, Mississippi",Dumped
Jeremy Hershberg,29,"May 2, 1994",Personal Trainer,"New York, New York",3rd place
Jess Gale,23,"May 8, 1999",Students and VIP hostesses,"London, England",4th Place
Jess Velkovski,25,"February 11, 1998",Influencer,"Cronulla, New South Wales",Runner-Up
Jesse Bray,27,"May 12, 1995",Parcel Courier,"Houston, Texas",3rd Place
Jessica Hayes,30,"April 22, 1993",Glamour model,"Oxford, England",Winner
Jessica Lever,29,"June 11, 1993",Glamour Model,"Devon, England",Dumped
Jessica Losurdo,27,"November 8, 1995",Bank worker,"Sydney, New South Wales",Participating
Jessie Wynter,26,"September 28, 1996",Waitress,"Hobart, Australia",Dumped
Joanna Chimonides,26,"October 15, 1996",Recruitment Consultant,"London, England",Dumped
Joe Garratt,26,"November 28, 1996",Catering company owner,"South East London, England",Dumped
Joel Bierwert,27,"May 3, 1995",Model,"Northampton, Massachussetts",Dumped
Johannes Klemp,27,,Student,"Oslo, Norway",Winner
John Alberti,36,"May 6, 1986",Property developer,"Manchester, England",Dumped
John James Parton,37,"August 28, 1985[1]",DJBody Builder (former),"Melbourne, Australia",Walked
Johnny Middlebrooks,24,"June 20, 1998",Student,"Chesapeake, Virginia",Runner-Up
Jon Clark,33,"September 6, 1989",Builder,"Essex, England",Runner-Up
Jon Melhus,22,,Model,"Telemark, Norway",Dumped
Jonathan Kristoffersson,28,,Working at LSS accommodation,"Gothenburg, Sweden",Participating
Jonny Mitchell,32,"February 21, 1991",Business director,"Essex, England",Dumped
Jordan Adefeyisan,27,"September 22, 1995",Model,"Stockport, England",Dumped
Jordan Cayless,28,,Hairdresser,"Perth, Western Australia",Dumped
Jordan Dowsett,26,"November 28, 1996",FIFO Electrician,"Gold Coast, Queensland",Participating
